Buffer Size (Bytes),File Size (KB),Time (ns)
0,1000,1485030083
0,2000,2971811167
0,3000,4448036250
0,4000,5940435958
0,5000,7423115292
0,6000,8863416208
0,7000,10396801125
0,8000,11846436250
0,9000,13339478500
0,10000,14968171458
2,1000,742339125
2,2000,1487636916
2,3000,2226712625
2,4000,2971774750
2,5000,3710404417
2,6000,4452878084
2,7000,5200158500
2,8000,5934210666
2,9000,6686289125
2,10000,7423327916
4,1000,373361208
4,2000,741619458
4,3000,1112102500
4,4000,1483550416
4,5000,1853864833
4,6000,2227524042
4,7000,2601654000
4,8000,2967929458
4,9000,3340748458
4,10000,3711806750
8,1000,186264750
8,2000,370817667
8,3000,558007792
8,4000,742455209
8,5000,927115292
8,6000,1113132125
8,7000,1300893875
8,8000,1483971417
8,9000,1669081458
8,10000,1854697708
16,1000,92934167
16,2000,186059042
16,3000,279255292
16,4000,370968584
16,5000,465743583
16,6000,559656458
16,7000,650988333
16,8000,743383875
16,9000,838551708
16,10000,930309166
32,1000,46364625
32,2000,92672875
32,3000,139744834
32,4000,185427458
32,5000,232229084
32,6000,278473792
32,7000,325268875
32,8000,370671458
32,9000,416828167
32,10000,468357250
64,1000,23098458
64,2000,47254292
64,3000,69646000
64,4000,93130500
64,5000,116010083
64,6000,139124208
64,7000,162965125
64,8000,185979750
64,9000,209229791
64,10000,233540750
128,1000,11643625
128,2000,24006541
128,3000,35042792
128,4000,46927500
128,5000,59653459
128,6000,70627209
128,7000,82335583
128,8000,94215166
128,9000,105781458
128,10000,118548000
256,1000,5512625
256,2000,11721041
256,3000,18202458
256,4000,23207833
256,5000,29778417
256,6000,35291375
256,7000,41389541
256,8000,47038083
256,9000,53138958
256,10000,58759833
512,1000,2770125
512,2000,6053333
512,3000,9069500
512,4000,11635625
512,5000,14890584
512,6000,18058000
512,7000,20493000
512,8000,23528292
512,9000,27182333
512,10000,29426875
1024,1000,1214042
1024,2000,3125750
1024,3000,4828292
1024,4000,5768416
1024,5000,7945042
1024,6000,8996500
1024,7000,10490917
1024,8000,12301291
1024,9000,13268042
1024,10000,15139834
2048,1000,736500
2048,2000,1243041
2048,3000,2638834
2048,4000,3237583
2048,5000,3857583
2048,6000,4355166
2048,7000,5741959
2048,8000,5941125
2048,9000,7390834
2048,10000,7581542
4096,1000,439542
4096,2000,643459
4096,3000,1081917
4096,4000,1514375
4096,5000,2589792
4096,6000,2315917
4096,7000,2816458
4096,8000,3189083
4096,9000,4069458
4096,10000,4327500
8192,1000,180334
8192,2000,374792
8192,3000,666500
8192,4000,878834
8192,5000,1165000
8192,6000,1866458
8192,7000,1343334
8192,8000,2443292
8192,9000,2370458
8192,10000,2328458
16384,1000,128125
16384,2000,252666
16384,3000,389875
16384,4000,571792
16384,5000,658917
16384,6000,898083
16384,7000,991708
16384,8000,1160542
16384,9000,1322584
16384,10000,1505708
32768,1000,100375
32768,2000,203375
32768,3000,272708
32768,4000,357708
32768,5000,451708
32768,6000,543209
32768,7000,621375
32768,8000,966667
32768,9000,881375
32768,10000,975292
