Buffer Size (Bytes),File Size (KB),Time (ns)
0,100,3361125
0,200,5252500
0,300,6123125
0,400,7783958
0,500,8503792
0,600,8771625
0,700,9861666
0,800,10373500
0,900,10680708
0,1000,11214916
2,100,382458
2,200,701500
2,300,1023125
2,400,1335917
2,500,1658791
2,600,2012625
2,700,2241750
2,800,2707042
2,900,2885125
2,1000,3196500
4,100,165792
4,200,299042
4,300,422875
4,400,574917
4,500,678792
4,600,926084
4,700,918500
4,800,1183750
4,900,1229584
4,1000,1329041
8,100,128375
8,200,223792
8,300,331791
8,400,421750
8,500,521833
8,600,626250
8,700,743458
8,800,864042
8,900,906167
8,1000,967458
16,100,71250
16,200,143708
16,300,180375
16,400,241125
16,500,299708
16,600,1967125
16,700,465250
16,800,561500
16,900,610417
16,1000,651875
32,100,68416
32,200,896209
32,300,133500
32,400,152000
32,500,172875
32,600,216833
32,700,248833
32,800,265708
32,900,304250
32,1000,342084
64,100,56042
64,200,77792
64,300,87208
64,400,98667
64,500,121792
64,600,165750
64,700,188583
64,800,206625
64,900,204417
64,1000,259417
128,100,52083
128,200,54000
128,300,58417
128,400,104167
128,500,106750
128,600,125000
128,700,131375
128,800,161667
128,900,155917
128,1000,176209
256,100,3041
256,200,52417
256,300,49458
256,400,69584
256,500,85792
256,600,97875
256,700,113958
256,800,116791
256,900,139042
256,1000,146500
512,100,1542
512,200,1000
512,300,46500
512,400,47916
512,500,51667
512,600,70959
512,700,89584
512,800,106875
512,900,120791
512,1000,109583
1024,100,1209
1024,200,958
1024,300,1000
1024,400,750
1024,500,958
1024,600,70750
1024,700,77875
1024,800,79459
1024,900,74375
1024,1000,76333
2048,100,1083
2048,200,916
2048,300,917
2048,400,917
2048,500,875
2048,600,875
2048,700,750
2048,800,750
2048,900,750
2048,1000,708
4096,100,958
4096,200,750
4096,300,792
4096,400,708
4096,500,750
4096,600,750
4096,700,917
4096,800,792
4096,900,708
4096,1000,875
8192,100,875
8192,200,791
8192,300,750
8192,400,750
8192,500,750
8192,600,708
8192,700,666
8192,800,875
8192,900,708
8192,1000,833
16384,100,1083
16384,200,708
16384,300,750
16384,400,666
16384,500,666
16384,600,625
16384,700,625
16384,800,667
16384,900,1000
16384,1000,625
32768,100,959
32768,200,1125
32768,300,1541
32768,400,1667
32768,500,708
32768,600,834
32768,700,667
32768,800,667
32768,900,875
32768,1000,667
