Buffer Size (Bytes),File Size (KB),Time (ns)
0,100,1988090
0,200,3962257
0,300,5942259
0,400,7777100
0,500,9543570
0,600,11838703
0,700,13697778
0,800,15599146
0,900,18026572
0,1000,19676205
2,100,655643
2,200,1187852
2,300,1815061
2,400,2494196
2,500,3099127
2,600,3652281
2,700,4229689
2,800,5045867
2,900,5318913
2,1000,5983199
4,100,303697
4,200,436695
4,300,615119
4,400,838591
4,500,1041313
4,600,1241556
4,700,1452350
4,800,1646730
4,900,1854299
4,1000,2038262
8,100,208059
8,200,275940
8,300,405923
8,400,538708
8,500,681801
8,600,820779
8,700,920636
8,800,1062727
8,900,1218190
8,1000,1406871
16,100,181654
16,200,211955
16,300,309355
16,400,437679
16,500,510979
16,600,649862
16,700,724909
16,800,826048
16,900,956379
16,1000,1083205
32,100,108115
32,200,181171
32,300,264220
32,400,365185
32,500,431199
32,600,535012
32,700,626396
32,800,683117
32,900,769149
32,1000,828674
64,100,105230
64,200,170393
64,300,237187
64,400,882210
64,500,705551
64,600,437507
64,700,727144
64,800,1136865
64,900,1198748
64,1000,978074
128,100,120033
128,200,149911
128,300,200183
128,400,296070
128,500,325088
128,600,424690
128,700,1247132
128,800,749009
128,900,838145
128,1000,1303056
256,100,5690
256,200,508336
256,300,454121
256,400,1318507
256,500,341841
256,600,474554
256,700,507269
256,800,632210
256,900,690219
256,1000,713920
512,100,5035
512,200,5306
512,300,651466
512,400,362227
512,500,659618
512,600,748269
512,700,1742832
512,800,975256
512,900,1349872
512,1000,1861053
1024,100,5389
1024,200,5181
1024,300,7400
1024,400,7085
1024,500,5482
1024,600,1265086
1024,700,940791
1024,800,1022405
1024,900,1910471
1024,1000,1414360
2048,100,5532
2048,200,7953
2048,300,7485
2048,400,6746
2048,500,7767
2048,600,8026
2048,700,6528
2048,800,6643
2048,900,7004
2048,1000,7341
4096,100,5797
4096,200,12577
4096,300,7664
4096,400,7965
4096,500,7723
4096,600,8034
4096,700,8028
4096,800,7841
4096,900,7857
4096,1000,7368
8192,100,7260
8192,200,13282
8192,300,7785
8192,400,8625
8192,500,8034
8192,600,8445
8192,700,8015
8192,800,8250
8192,900,9036
8192,1000,8738
16384,100,5545
16384,200,13464
16384,300,8302
16384,400,9136
16384,500,8241
16384,600,8684
16384,700,9098
16384,800,9501
16384,900,9420
16384,1000,8648
32768,100,5333
32768,200,19390
32768,300,9756
32768,400,9713
32768,500,10315
32768,600,9140
32768,700,8820
32768,800,8556
32768,900,8700
32768,1000,8945
