ParallelizationRatio,Worker,Time(ms),Speedup
0,1,33011,1.00
10,1,33503,0.99
20,1,33750,0.98
30,1,34091,0.97
40,1,34320,0.96
50,1,34757,0.95
60,1,35090,0.94
70,1,35465,0.93
80,1,35952,0.92
90,1,36317,0.91
100,1,36533,0.91
0,2,33016,1.00
10,2,32690,1.01
20,2,31866,1.04
30,2,30777,1.07
40,2,29567,1.12
50,2,28142,1.18
60,2,26544,1.25
70,2,24871,1.33
80,2,23090,1.43
90,2,21133,1.56
100,2,19130,1.73
0,3,32987,1.00
10,3,32484,1.02
20,3,31338,1.06
30,3,29801,1.11
40,3,28081,1.18
50,3,26070,1.27
60,3,23864,1.39
70,3,21530,1.54
80,3,18969,1.74
90,3,16265,2.03
100,3,13467,2.46
0,4,33049,1.00
10,4,32502,1.02
20,4,31214,1.06
30,4,29572,1.12
40,4,27543,1.20
50,4,25264,1.31
60,4,22704,1.46
70,4,20045,1.65
80,4,17076,1.94
90,4,14001,2.36
100,4,10821,3.06
0,5,33069,1.00
10,5,32523,1.02
20,5,31160,1.06
30,5,29385,1.13
40,5,27157,1.22
50,5,24773,1.33
60,5,22151,1.49
70,5,19189,1.72
80,5,16041,2.06
90,5,12835,2.58
100,5,9284,3.56
0,6,33016,1.00
10,6,32525,1.02
20,6,31219,1.06
30,6,29241,1.13
40,6,27105,1.22
50,6,24471,1.35
60,6,21645,1.53
70,6,18542,1.78
80,6,15377,2.15
90,6,11781,2.81
100,6,8317,3.98
0,7,32998,1.00
10,7,32611,1.01
20,7,31257,1.06
30,7,29372,1.13
40,7,27166,1.22
50,7,24551,1.35
60,7,21645,1.53
70,7,18629,1.78
80,7,15337,2.16
90,7,11764,2.81
100,7,8045,4.11
0,8,33027,1.00
10,8,32740,1.01
20,8,31269,1.06
30,8,29503,1.12
40,8,27156,1.22
50,8,24501,1.35
60,8,21618,1.53
70,8,18621,1.78
80,8,15162,2.18
90,8,11573,2.86
100,8,7887,4.19
0,9,33036,1.00
10,9,32670,1.01
20,9,31303,1.06
30,9,29514,1.12
40,9,27213,1.22
50,9,24636,1.34
60,9,21706,1.52
70,9,18592,1.78
80,9,15051,2.20
90,9,11591,2.85
100,9,7625,4.34
0,10,33005,1.00
10,10,32823,1.01
20,10,31538,1.05
30,10,29812,1.11
40,10,27583,1.20
50,10,24987,1.32
60,10,22102,1.50
70,10,18952,1.74
80,10,15556,2.13
90,10,12044,2.75
100,10,8106,4.08
0,11,33007,1.00
10,11,32691,1.01
20,11,31524,1.05
30,11,29768,1.11
40,11,27584,1.20
50,11,25091,1.32
60,11,22247,1.49
70,11,18884,1.75
80,11,15692,2.11
90,11,11906,2.78
100,11,8262,4.00
0,12,33024,1.00
10,12,32744,1.01
20,12,31393,1.05
30,12,29599,1.12
40,12,27495,1.20
50,12,24899,1.33
60,12,21634,1.53
70,12,18817,1.76
80,12,15473,2.14
90,12,11773,2.81
100,12,7844,4.22
0,13,33031,1.00
10,13,32753,1.01
20,13,31597,1.05
30,13,29788,1.11
40,13,27761,1.19
50,13,25144,1.32
60,13,22342,1.48
70,13,19171,1.72
80,13,15709,2.11
90,13,12605,2.62
100,13,8333,3.97
0,14,33031,1.00
10,14,32848,1.01
20,14,31667,1.04
30,14,30133,1.10
40,14,27874,1.19
50,14,25502,1.30
60,14,22549,1.47
70,14,19495,1.70
80,14,16168,2.05
90,14,13020,2.54
100,14,8780,3.77
0,15,33027,1.00
10,15,33078,1.00
20,15,31914,1.04
30,15,30179,1.10
40,15,27787,1.19
50,15,25601,1.29
60,15,22516,1.47
70,15,19477,1.70
80,15,16290,2.03
90,15,12711,2.60
100,15,9103,3.63
0,16,33009,1.00
10,16,32970,1.00
20,16,31771,1.04
30,16,29980,1.10
40,16,27911,1.18
50,16,25332,1.31
60,16,22358,1.48
70,16,19574,1.69
80,16,16254,2.03
90,16,12394,2.67
100,16,8843,3.74
0,17,33012,1.00
10,17,33032,1.00
20,17,31699,1.04
30,17,30206,1.09
40,17,27919,1.18
50,17,25683,1.29
60,17,22725,1.46
70,17,19623,1.69
80,17,16653,1.99
90,17,12935,2.56
100,17,9071,3.65
0,18,33000,1.00
10,18,32846,1.01
20,18,31537,1.05
30,18,29837,1.11
40,18,27633,1.20
50,18,25177,1.31
60,18,22617,1.46
70,18,19621,1.69
80,18,16029,2.06
90,18,12591,2.63
100,18,8806,3.76
0,19,33004,1.00
10,19,33028,1.00
20,19,32020,1.03
30,19,29907,1.11
40,19,28082,1.18
50,19,25792,1.28
60,19,22978,1.44
70,19,20010,1.65
80,19,16838,1.96
90,19,13627,2.43
100,19,9669,3.42
0,20,33640,0.98
10,20,32831,1.01
20,20,31906,1.04
30,20,30125,1.10
40,20,27784,1.19
50,20,25632,1.29
60,20,22559,1.47
70,20,19584,1.69
80,20,16368,2.02
90,20,12812,2.58
100,20,9273,3.57
