id,start_time,finish_time
0,0,3171628
1,3171628,6327520
2,6327520,8889609
3,8889609,11074714
4,11074714,14147658
5,14147658,22504458
6,22504458,26292355
7,26292355,29984421
8,29984421,32028870
9,32028870,34985397
10,34985397,41958431
11,41958431,50386504
12,50386504,59404272
13,59404272,66059592
14,66059592,72499988
15,72499988,81649930
16,81649930,84894609
17,84894609,87034065
18,87034065,91994135
19,91994135,98743078
20,98743078,102011078
21,102011078,103224065
22,103224065,111706829
23,111706829,121075023
24,121075023,122795952
25,122795952,132724019
26,132724019,134264457
27,134264457,142404838
28,142404838,144810354
29,144810354,152339235
