id,start_time,finish_time
13,0,209092
24,209092,423483
16,423483,652859
12,652859,1019421
25,1019421,1412597
22,1412597,1834795
23,1834795,2667883
4,2667883,4335814
1,4335814,6110348
0,6110348,7885399
18,7885399,10455612
19,10455612,13771301
14,13771301,17110802
29,17110802,20944675
9,20944675,25055490
26,25055490,29970076
27,29970076,35673423
7,35673423,41776681
17,41776681,47938440
20,47938440,54144667
11,54144667,60551601
6,60551601,67963017
15,67963017,75487216
10,75487216,83219836
8,83219836,90995529
5,90995529,99494813
3,99494813,108105535
21,108105535,116800574
28,116800574,126518790
2,126518790,136360478
